RegionName,Income
Alameda County,76644
Alpine County,73307
Amador County,44793
Butte County,44346
Calaveras County,49893
Colusa County,49094
Contra Costa County,82506
Del Norte County,37268
El Dorado County,67464
Fresno County,43084
Glenn County,48613
Humboldt County,48739
Imperial County,36974
Inyo County,61358
Kern County,39703
Kings County,35306
Lake County,43185
Lassen County,37844
Los Angeles County,62224
Madera County,39897
Marin County,134275
Mariposa County,53143
Mendocino County,50150
Merced County,38519
Modoc County,44822
Mono County,51325
Monterey County,56193
Napa County,74984
Nevada County,61799
Orange County,69268
Placer County,66700
Plumas County,53599
Riverside County,40637
Sacramento County,52544
San Benito County,53822
San Bernardino County,40316
San Diego County,61386
San Francisco County,130696
San Joaquin County,44995
San Luis Obispo County,58491
San Mateo County,126392
Santa Barbara County,62690
Santa Clara County,107877
Santa Cruz County,69355
Shasta County,46582
Sierra County,46615
Siskiyou County,45065
Solano County,51664
Sonoma County,64501
Stanislaus County,44120
Sutter County,44535
Tehama County,42483
Trinity County,40640
Tulare County,40420
Tuolumne County,47838
Ventura County,61712
Yolo County,54118
Yuba County,40929
