,County,Year,Violent_Crimes
0,Alameda County,2018,9948
1,Alpine County,2018,12
2,Amador County,2018,118
3,Butte County,2018,1214
4,Calaveras County,2018,197
5,Colusa County,2018,57
6,Contra Costa County,2018,3880
7,Del Norte County,2018,137
8,El Dorado County,2018,475
9,Fresno County,2018,5889
10,Glenn County,2018,80
11,Humboldt County,2018,571
12,Imperial County,2018,645
13,Inyo County,2018,122
14,Kern County,2018,5289
15,Kings County,2018,784
16,Lake County,2018,338
17,Lassen County,2018,254
18,Los Angeles County,2018,58567
19,Madera County,2018,896
20,Marin County,2018,528
21,Mariposa County,2018,67
22,Mendocino County,2018,369
23,Merced County,2018,1548
24,Modoc County,2018,51
25,Mono County,2018,41
26,Monterey County,2018,1750
27,Napa County,2018,683
28,Nevada County,2018,250
29,Orange County,2018,7362
30,Placer County,2018,688
31,Plumas County,2018,130
32,Riverside County,2018,7360
33,Sacramento County,2018,6917
34,San Benito County,2018,149
35,San Bernardino County,2018,10577
36,San Diego County,2018,11379
37,San Francisco County,2018,6290
38,San Joaquin County,2018,5950
39,San Luis Obispo County,2018,746
40,San Mateo County,2018,1797
41,Santa Barbara County,2018,1493
42,Santa Clara County,2018,6155
43,Santa Cruz County,2018,989
44,Shasta County,2018,1163
45,Sierra County,2018,5
46,Siskiyou County,2018,180
47,Solano County,2018,2110
48,Sonoma County,2018,1985
49,Stanislaus County,2018,3160
50,Sutter County,2018,328
51,Tehama County,2018,267
52,Trinity County,2018,79
53,Tulare County,2018,1587
54,Tuolumne County,2018,197
55,Ventura County,2018,2048
56,Yolo County,2018,674
57,Yuba County,2018,341
